"","Title","Author","Content","Comments_No","Upvote_Percentage"
"324","Lovelyz's Mijoo, Jessi, and TXT's Yeonjun and Huening Kai to appear as guests on upcoming 'Running Man' episode"," danisurst","Lovelyz's Mijoo, Jessi, and TXT's Yeonjun and Huening Kai will be appearing together as guests in an upcoming episode of the SBS variety program 'Running Man'!



According to the network, the K-Pop stars joined the cast members and fellow episode guests — actors Cha Tae Hyun and Yang Dong Geun and comedian Jang Dong Min — to shoot on location in Seoul on November 16. The line-up was reportedly selected due to their close friendships, and they will all be appearing in a special 'best friend' episode.Meanwhile, the episode is slated to air in mid-December.","24","85%"
"325","BLACKPINK unveil their official light stick version 2"," beansss","

BLACKPINK have unveiled their official light stick version 2, upgraded with all new features but with the same, adorable hammer design!



Pre-orders for BLACKPINK's limited edition version 2 light stick will be open from November 13-19, with the goods officially available on November 20. Check out how you can pre-order yours below! Are you a fan of BLACKPINK's quirky heart hammer light stick?



🖤💖 𝐁𝐋𝐀𝐂𝐊𝐏𝐈𝐍𝐊 𝐎𝐅𝐅𝐈𝐂𝐈𝐀𝐋 𝐋𝐈𝐆𝐇𝐓 𝐒𝐓𝐈𝐂𝐊 𝐕𝐞𝐫.𝟐 𝐋𝐈𝐌𝐈𝐓𝐄𝐃 𝐄𝐃𝐈𝐓𝐈𝐎𝐍 👑#BLACKPINK LIGHT STICK v2 Limited Edition Pre-order Open!Check it out on @ygselect right now!🖤 PRE-ORDER | 2020.11.13 ~ 2020.11.19🖤 RELEASE | 2020.11.20 pic.twitter.com/xUSgQExN3G","33","70%"
"326","Sojung opens about the difficulties in promoting after Ladies' Code's tragic accident"," AmieAmore","Sojung, a member of Ladies' Code that stopped activities after a tragic accident that took the lives of EunB and RiSe, confessed her difficulties. 



In the new episode of JTBC's 'Sing Again,' which aired on November 30th, Sojung made an appearance.



Sojung came on the show as singer number 11 with the title 'A singer who can't smile.' She stood on stage in nervousness as she began singing the song ""The Flight"" by In Jae Bum. Sojung received an 'ALL Again' vote as all the judges voted for her. The 'ALL Again' vote means all the judges pressed the 'Again' button as they wanted Sojung to sing again. After finishing the song, she couldn't help but shed the tears she was holding back.



During the interview, Sojung confessed, ""We did promote after the accident, but the emptiness on stage was too great. I began to think, 'Am I allowed to smile?' I tried to give the fans and viewers joy and happiness, but they would look at us with pity. So I felt I shouldn't smile.""



Lastly, she revealed she is going through therapy and still taking medication to get over her difficulties.



The judges gave her a round of applause and supported her for sharing her difficulties and her courage to overcome it.



Meanwhile, 'Sing Again' is a show introducing the singers who were not able to be recognized by the world or a singer who was once famous but became forgotten. This audition show is designed to give these artists a second chance in their music careers. 

","17","98%"
"327","Netizens react to old photos of 20-year old Kim Sun Ho"," beansss","

Old photos of one of the most talked-about stars right now, actor Kim Sun Ho have become a hot topic via online communities!



The photos (or GIFs) are of Kim Sun Ho when he was freshly 20-years old, studying at the Seoul Institute of the Arts! It seems that Kim Sun Ho and his colleagues are participating in some form of department show. Some netizens also noticed actor Lee Si Un on the stage alongside Kim Sun Ho.



Can you believe these photos are of Kim Sun Ho from 15-years ago?? (The actor is now 35-years old.) 





(Lee Si Un)



2010년 김선호 서울예대 제작실습“아 형 때문에 떨어졌자나…”너무 귀여워서 공유하지 않을 수가 x.. 문제 있을 시 삭제합니도 pic.twitter.com/JM8FPeRIO8





Netizens said, 



...and more! Are you whipped over Kim Sun Ho yet?","16","97%"
"328","Former EXO member Tao denies dating rumors involving labelmate Xu Yiyang"," germainej","Former EXO member Tao has denied dating rumors involving his labelmate.On November 13, Tao held a live stream with his labelmate Xu Yiyang, and he opened up about his alleged romantic relationship with the singer. He expressed, ""The person that I'm doing my best trying to support is my girlfriend? They're all my little sisters. My company artists are all my family.""Tao continued, ""However, it doesn't matter if you're interested. If you want to see it that way, then go ahead. If you want to connect us as a couple, then do it. It's my celebrities who are getting popular anyway.""Tao founded his own label L.Tao Entertainment in July of 2017 after leaving SM Entertainment in 2015. ","27","76%"
"329","SHINee's Key says Taemin should head to military soon?"," germainej","SHINee's Key says Taemin should head to the military for his mandatory service soon.During filming for the November 11th episode of 'Radio Star', Key featured as a guest alongside Lee Juk, Paul Kim, and Jungin for a special dedicated to singers. On recently wrapping up his military service, the SHINee member expressed, ""Going to the military was the easiest,"" comparing it to the 10 years he spent promoting as an idol.Key further shared that he was able to live according to a routine in the military, and he felt grateful for his time serving. He added that he regretted not going earlier and sent a message to Taemin, saying he should enlist for his mandatory military service soon.This full episode of 'Radio Star' airs on November 11 at 10:40 PM KST. ","19","93%"
"330","Netizens wonder why an advertisement erased Kim Yuna's leg muscles"," haydn-an","

Kim Yuna has become a legend as she gained the title of figure-skating Queen becoming the first female figure skater to break the 200 points mark. She has been loved by the nation of Korea and became the role model for many young girls and boys.



Kim Yuna was known to practice 8 hours a day improving the artistry and technique of figure skating. This is because figure skating itself is an exercise that can never be done without the support of strong physical strength. If an individual, such as a professional athlete exercises often, they will naturally gain muscles.The same goes for Kim Yuna, who boasts a slimmer figure than any other ordinary person. Her muscles are not overly large but are prominent enough to be seen. 

Recently, one netizen made a post on an online community saying that ""Kim Yuna's muscles are erased from an advertisement."" The netizen made the post express their disappointment that Kim Yuna's muscles that symbolize her hard work were hidden in the photo.





The netizen posted an advertisement photo of a sports brand and compared the photos of Kim Yuna before the edits were made. In the edited photo, her legs are visibly slimmed down removing all her calf muscles.The netizen who made the post stated, ""A figure skater is an athlete as well no matter how thin they are. Therefore, an athlete is bound to have muscles. Kim Yuna is the number 1 athlete in her field of sports so it is natural that she has those muscles. She is still maintaining her figure even after her retirement,"" and expressed his dissatisfaction with the photo edit.Netizens who came across the post also agreed and stated, ""I think the photo would have been more impactful if they left her muscles"", ""When I saw the ad, I thought she had fewer muscles than I thought. Now I realize they deleted it"" and ""I forgot that she was a top athlete. She looks pretty with or without muscles.""One netizen stated, ""I think it's more important to have these photos unedited because an athlete is taking photos for a sports brand so why would her muscles be edited out? This shows how fixed the standard of beauty is. It's unfortunate that they didn't leave the photo unedited.""","23","86%"
"331","Former YG Entertainment CEO Yang Hyun Suk fined for gambling charges"," olmal","Former YG Entertainment CEO and founder Yang Hyun Suk ended up with a 15 million Won (about $13,585 USD) fine for gambling charges.

Yang Hyun Suk admitted to all charges of his illegal overseas gambling during his first court hearing, and on November 27th, the Seoul Western District Court held his third hearing. As previously reported, Yang Hyun Suk is undergoing trial for gambling in Las Vegas 7 times between July of 2015 and January of 2019 with a total of $335,460 USD. At his third trial, the judge sentenced 15 million Won fine for Yang Hyun Suk, YGX joint representatives Kim and Lee, and 10 million Won fine for Keum. It was stated that the judge has confirmed the sentence based on the grounds ""The defendants are reflecting on their actions and they do not have previous gambling convictions"". 





Previously, the prosecution requested a fine of 10 million Won for Yang Hyun Suk on the grounds that he lacks previous gambling offenses as well as the number of times and individual amount spent on gambling. 





","20","91%"
"332","BTOB's Minhyuk & TXT's Soobin are shocked after meeting each other for the first time and realizing how similar they look"," beansss","

Ever wondered what would happen if you met your doppelgänger face to face?



On the November 20 broadcast of KBS2's 'Music Bank', BTOB's Minhyuk and TOMORROW x TOGETHER's Soobin may have had that very experience!



On this day, BTOB's first ever unit BTOB 4U performed their debut song ""Show Your Love"" for the first time on 'Music Bank', also holding an interview with the 'Music Bank' MCs Soobin and Oh My Girl's Arin. Shortly after the broadcast, fans of both BTOB and TOMORROW x TOGETHER exploded as they realized just how similar Minhyuk and Soobin look!







What was interesting was that many fans believed Minhyuk also kept looking at Soobin with an intrigued expression.







On fan then asked Minhyuk on Twitter, 



Minhyuk then replied, 







This news quickly reached TXT's Soobin, who also took to Twitter to respond personally to Minhyuk! Soobin said,







Now, Melodies (fans of BTOB) and MOAs (fans of TXT) are working together to find the instances where Minhyuk and Soobin seem to look the most like each other! Do you think the two of them could be doppelgängers?







You can also watch BTOB 4U's full 'Music Bank' interview with MCs Soobin and Arin below!



","20","88%"
"333","Netizens call out an indie band for illegally posting promotional flyers over the face of an idol's birthday ad"," beansss","

Netizens are calling out an indie band for illegally posting their own promotional flyers on top of an idol's paid birthday advertisement. 



Some netizens recently noticed that an indie band had covered up a birthday ad at a Hongik University bus station, addressed to ATEEZ's Wooyoung. The act was quickly discovered by fans, who decided to clear the flyers away themselves. 







Fans soon discovered that the flyers belonged to an indie band named Shirts Boy Frank, supposedly releasing their new album 'Lame' in December. 







Many netizens criticized the indie band's actions and left comments like:



ATEEZ fans also pointed out that the Hongik University bus stop is known for being a popular spot for the ATEEZ members to come by and verify that they've received the birthday support from their fans. 



Meanwhile, fans will be celebrating ATEEZ member Wooyoung's birthday on November 26. 

","34","72%"
"334","BTS's J-Hope leaves a warm message for his fans a day before releasing the new album 'BE'"," haydn-an","BTS is just one day away from releasing their new album 'BE'. 



As much as the album is prepared and directed by the BTS members themselves, many fans are enthusiastic and excited about the upcoming album.



Member J-Hope decided to leave a message for his fans ahead of the excitement. J-Hope posted a photo and a long message on Weverse on November 19th.

He wrote: 

""ARMY!!!!!

The album will be released tomorrow. I feel like the album was already released probably because we've been working on it for a long time. hahaha::;;

To be honest, I have a simple worry because we got everyone excited since we said this album was 'prepared on our own, starting from one to everything!!' I'm worried you might be disappointed as much as you were anticipating of it @~@)



One thing that's for sure is that we all zealously discuss with one another, laughed, and enjoyed making this album. This is the album that we came into an agreement together and assessed the album until the end.



I believe this will be the album you will be able to really feel each one of our hearts and temperature.



I think that the album is as meaningful to us and you ARMYs!!!



Starting tomorrow, we're going to reveal what we prepared!!!



I hope this can help wrap up the year 2020 beautifully and happily through laughter and energy in the fatigued life!!!



-To all the ARMYs who are starting a new day and some ending the day. From BTS's J-Hope ""

After reading his message, many BTS fans were touched and shared their feelings in an online community.



Netizens' Comments:

""Our hope, J-Hope, we love you too.""

""Aww, he's so nice and really cares for his fans.""

""Can't believe he's worried we might be disappointed. Definitely won't' be.""

""I'm not part of the BTS fandom but I like J-Hope the most. He always seems to have good energy.""

""J-Hope is truly everyone's sunshine.""

""I really want to hear their songs.""

""The members all put their hard work into it. I'm so excited.""

","29","77%"
"335","Doppelgängers BTOB's Minhyuk & TXT's Soobin finally snap selcas + share behind stories about their encounter"," beansss","

It's not a trick, everyone, it's the real deal!



K-Pop's official doppelgängers BTOB's Minhyuk and TOMORROW x TOGETHER's Soobin have finally shared couple selcas, and they're literally no joke!



Last week, when BTOB 4U held their debut stage on KBS2's 'Music Bank', Minhyuk and Soobin met in person for the first time ever, marking a historic(?) moment. The two idols were shocked to see how alike they looked, and many fans demanded to see more interactions and selcas between them. 



Now, the calls have been answered! Both Minhyuk and Soobin treated fans to selca posts via SNS immediately after the November 27 broadcast of KBS2's 'Music Bank', confirming that they met up again this week and even exchanged contact information!



Soobin wrote, ""It's Soobin! I think that these are selcas many people were waiting to see hehe. I've always wanted to meet [Minhyuk] ever since my debut, and I am so thankful that he greeted me so warmly last week and this week as well. Minhyuk-sunbaenim, you are so jjang jjang handsome! I love you!""



수빈입니다!아마 많은 분들이 기다리셨을 셀카 같아요 ㅎㅎ데뷔 때부터 꼭 한 번은 만나 보고 싶었는데 저번주도 오늘도 넘 반갑게 맞이해주셔서 감사했습니당민혁 선배님 짱짱 최고 잘생기셨어요 사랑함돠!#TOMORROW_X_TOGETHER #TXT_수빈 #TXT_SOOBIN pic.twitter.com/CqebcaNLTC





Minhyuk decided to take it one step further as he commented, ""aespa is me, no actually it's Soobin,"" using a word play on the currently trending lyrics to aespa's debut song ""Black Mamba""!







Later on, BTOB's Minhyuk also shared some behind-stories about his meetings with Soobin with fans during a live broadcast. 



Minhyuk: ""I got a KakaoTalk message from Soobin, asking me if it was okay to post those selcas kekekeke."" 



수빈이가 올려도 되냐고 카톡으로 물어봤대ㅋㅋㅋㅋㅋㅋ #비투비 #비투비포유 #이민혁 https://t.co/Y66XdohJsv pic.twitter.com/qKBXpXqp8M





Minhyuk: ""The broadcast sense on 'Music Bank' was no joke today, right? It was me at the end for the ending shot, and then it dissolved into the next scene, which was Soobin's face. It was entertaining. 'Music Bank' is very sincere about Minhyuk-Soobin, Soobin-Minhyuk.""



👤 : 오늘 완전 방송센스 장난아니었죠 딱 제가 나오고 디졸브돼서 수빈이 얼굴 딱 나오고 👤 : 재밌더라구 ㅎㅎ 뮤직뱅크가 민혁수빈에 더 진심이라구 수빈민혁 https://t.co/voG8CsuKes pic.twitter.com/cKCTXHjzlg





Minhyuk: ""I could tell that ['Music Bank'] was very into it since last week. We were doing our interview rehearsal, and they stood me right next to Soobin. The question he was supposed to ask me, too, was actually different at first. It was just a 'TMI' question and I think it was, 'What late night snack menu do you want to eat tonight?' so my answer was sundae gopchang or something like that, but then during the rehearsal they were like, can we change the question, and so it turned out to be, 'What do you think when you look at me?'.""



원래 민혁님 인터뷰가 오늘 야식 먹고 싶은 메뉴는? 이거였는데 리허설 하고 수빈이를 보면 무슨 생각이 드는지로 질문 바뀐거라구 ㅋㅋㅋㅋ pic.twitter.com/uE0jEWyTTL





Fans still just can't get over these two legitimate K-Pop doppelgangers, commenting, 



Are you as mindblown by Minhyuk and Soobin as the netizens?","21","86%"
"336","Lee Ji Hye opens up about going through complications after plastic surgeries"," olmal","Singer/Actress Lee Ji Hye opened up about complications after plastic surgeries she went through. 



On the November 26th episode of SBS Plus' 'You can talk to me, your unnie' comedian Lee Se Young made a guest appearance. The comedian shared that she is sick and tired of people calling her 'ugly' so she has made an appointment with a plastic surgeon this December. 



Lee Ji Hye shared her thoughts on Lee Se Young's decision and candidly opened up about her experience of going through complications after cosmetic procedures. She shared, ""What would you do if people call you ugly even after your double eyelid surgery? That would lead to another procedure, which could result in serious complications if you overdo it. I got too many fat injections on my face one time, and I had to take a break from all promotional activities because I couldn't move my face.""  



Lee Ji Hye continued, ""Now my face is back to normal but there are so many people who are having hard times due to irreversible damage after cosmetic surgeries. I believe you should take care of your mental health first, then think about getting plastic surgery.""  





","23","90%"
"337","Red Velvet featured in an interview with Diplo for 'Interview Magazine'"," beansss","

The girls of Red Velvet were recently featured in an exclusive interview with Diplo for 'Interview Magazine'. (The photoshoot and interview took place before Irene's controversy.)



For this interview, the Red Velvet members began by introducing themselves to Diplo, describing their team name, their musical color, etc. The girls then discussed their experiences touring in America, memories with their fans, as well as American artists they would like to collaborate with!



To read Red Velvet's full interview, visit 'Interview Magazine's website here. You can also check out the group's latest pictorial together (excluding Wendy who was still inactive at the time of the shoot), below. 

","26","81%"
"338","Zion.T reportedly setting up independent label; leaving The Black Label after contract expires in April"," danisurst","Zion.T is rumored to be launching a new independent label.According to multiple media sources, the R&B soloist's contract with YG Entertainment subsidiary The Black Label will expire in April of next year. Starting in January, prior to its expiration, he will be launching his own label.It is also rumored that Zion.T has already completed contract-related talks with Teddy, the current head of The Black Label, and that Teddy will continue cheering the singer on as he makes a new start in his solo career.



Stay tuned for more news about Zion.T's upcoming activities!","20","93%"
"339","Former After School member Kahi shows off her toned body that is unbelievable for a mother of two"," AmieAmore","Former After School member Kahi who turns 40 later this month, showed off her luxurious fit body.

On December 1st, Kahi posted on her Instagram a photo with the caption, ""I need to keep checking it so I can keep my mind sharp - my body and mind.""

In the photo that was uploaded, Kahi exposes her abdomen with her top raised and her pants slightly lowered.



She gained attention as she boasted of a perfectly fit body line with a distinct ab muscle that has been toned perfectly through exercise.



Kahi, who is turning 40 this year, shows off her perfect figure that is unbelievable to be the body of a mother of two children. She truly showed what self-maintenance is as she maintains her slim figure even after giving birth to two children.



Currently, Kahi is keeping an active presence on YouTube as she shares various tips on exercise and maintaining her figure through her channel 'KahiVibes.'

Netizens praised Kahi, commenting, ""Wow, Kahi is awesome. She gave birth but also held a healthy figure by exercising"", ""I should really get myself to exercise. I ate a late-night snack yesterday"", and ""So amazing, really respect her.""Meanwhile, Kahi got married in 2016 to a businessman and gave birth to two sons. ","25","84%"
"340","'2020 APAN Music Awards' reveals 'Top 10' winners and more"," germainej","The '2020 APAN Music Awards' revealed its list of 'Top 10' winners and more.On November 26, the '2020 APAN Music Awards' announced the 'Top 10' acts that ""made K-pop shine in 2020"" according to popularity, physical album and digital sales, and judge scores. In no particular order, the winners are - Kang Daniel, The Boyz, MONSTA X, BTS, Seventeen, IZ*ONE, Lim Young Woong, GOT7, NCT 127, and TWICE.The 'Best Icon Award' was awarded to NCT U, 'Best Performance' was awarded to Kang Daniel, 'Best Music Video' went to BLACKPINK, and 'Best All-Rounder' was awarded to GOT7's JB.Congratulations to all the winners! ","38","62%"
"341","BTS's Jimin, ASTRO's Moonbin, & NCT's Jaehyun top individual male idol brand value rankings for November"," beansss","

On November 14, the Korea Institute of Corporate Reputation revealed brand value rankings of individual male idols for this month, based on big data analysis. 



From October 13 through November 13, the Institute analyzed big data of 653 male K-Pop idols in areas including consumer participation, media activity, communication, community activity, etc. 

Unwavering at the #1 spot once again for this month was BTS's Jimin, earning a total of 5,192,015 points. In 2nd place, ASTRO's Moonbin rose up to the top 3 rankings for the first time ever, with a total of 3,954,327 brand value points. 3rd place went to NCT's Jaehyun, following Moonbin closely with 3,870,841 points. 



From 4th through 10th place are, in order: BTS's V, ASTRO's Cha Eun Woo, EXO's Kai, BTS's Jungkook, BTS's RM, BTS's Jin, and BTS's SUGA. Check out the full rankings below!","23","83%"
"342","New NCT member Sungchan is receiving a lot of attention for his good looks"," haydn-an","Two new members were added to NCT this year. With 23 members in total, the multi-member group has gained much attention for their sheer size, members' good looks, and exceptional performances.



From the two new members, Sungchan is quickly gaining a huge fan base as he is getting much attention for his good looks. Sungchan joined the group as a rapper and boasted of a tall slim figure standing at 180cm (5'11"").



One netizen made a post in an online community with various photos and gifs of the new NCT member. This netizen stated she thinks Sungchan is very good looking.



Other netizens have yet to argue against her claims and are also agreeing that Sungchan is capturing the hearts of many female k-pop fans with his mesmerizing handsomeness.



Netizens' Commented:

""He's really good looking. I didn't think he was Korean.""

""He doesn't look Korean, I was surprised he was.""

""Where did SM find such a good looking guy.""

""He's really good looking.""

""He's good looking and he's tall. Omg.""

""He looks much better in music videos. He looks crazy good.""

""He has the face that Lee Soo Man likes. lol""

""He's the real deal. He's too good looking.""

""He's good at rapping too. He's too awesome.""

","22","88%"
"343","GOT7 lay in clouds in 'Breath of Love: Last Piece' group teaser image"," germainej","GOT7 have dropped their group teaser image for 'Breath of Love: Last Piece'.In the teaser image, the GOT7 members lay in a cloudy setting. The JYP Entertainment boy group are releasing their upcoming album 'Breath of Love: Last Piece' on November 30 KST, but they'll be dropping their pre-release single ""Breath"" on the 23rd. Are you excited for GOT7's comeback?","21","91%"
"344","SHINee's Minho and INFINITE's Dongwoo discharged from military today"," jennywill","SHINee's Minho and INFINITE's Dongwoo will be discharged today.



Originally, SHINee's Minho would have been granted 20 vacation leave days starting on October 27, per COVID19 protocol. Due to the ongoing COVID19 pandemic, many soldiers carrying out their mandatory service duties have not been able to leave their military bases in order to take vacations. To make up for this, the Military Manpower Administration has allowed soldiers who are due to be discharged from their mandatory duties to leave their posts early on vacation leave. 



However, Minho has decided to give up his 20 vacation leave days in order to participate in the Marine Corps's upcoming defense drills. Minho wished to lead many of the new soldiers participating in the defense drills by passing on his technical knowledge and skills, according to the Marine Corps. He's now been discharged from the military.



Dongwoo followed COVID-19 protocol, and left his base for his final vacation on the 23rd. He will not be returning back to base to be discharged as per COVID-19 protocol.



Welcome back, Minho and Dongwoo!","16","98%"
"345","Why you shouldn't joke around with rookie idols at fan sign events"," AmieAmore","One netizen shared on an online community the reason why you can't joke with rookie idol members at a fan sign event.



The netizen shared a short clip of STAYC member J almost crying because her fans joked with her. The clip showed the member communicating and connecting with fans through a video chat. During the call, one fan told J, ""I fell down the stairs trying to log onto the fan sign video event."" J looked worried and asked, ""Are you okay?"" to which the fan replied, ""It's your fault.""



201127 스테이씨 영통팬싸재이에게 누가 잘못했어 드립을 쳐보고••재이 반응에 내가 먼저 아니라고 외친 후기••(드립친 의미가 0이 되었습니다#STAYC #J #재이 pic.twitter.com/maA3TsyU4Q

J looked truly sad when hearing the fan blame her, so the fan quickly said, ""I'm just kidding."" That is when the rookie girl group member was able to brighten up again.



The netizen who made the post stated she wanted to share how cute J was during the fan sign video call and made the post with the title ""The reason you can't joke with rookie idols at a fan sign event.""



Other netizens who came across the post also commented on the post giving their opinions on the matter.



Netizens' Commented:","25","80%"
"346","Former 'Superstar K' contestant Choi Young Tae sentenced to prison for fraud"," germainej","Former 'Superstar K' contestant Choi Young Tae has been sentenced to prison for fraud.According to reports, Choi Young Tae was caught scamming buyers on a used goods platform by posting items for sale but never providing the purchased item. He amassed 60 million Won ($55,342.64 USD) by scamming buyers, which doesn't include the 40 million Won ($36,916.75 USD) he was previously charged for scamming. As Choi Young Tae was already on a 2-year probation, prosecution demanded a 4.5-year sentence, but he was ultimately sentenced to 1 year in prison. During his testimony, Choi Young Tae expressed, ""I'm reflecting upon my actions. Once I've served my sentence, I promise to return as a changed man."" Choi Young Tae appeared as a contestant on 'Superstar K' in 2011. ","8","100%"
"347","Netizens have mixed opinions about aespa's fandom name 'MY'"," haydn-an","A short time ago, SM Entertainment's new girl group aespa announced the name of their fandom.



The company created an official fan club community where aespa's fans can share memorable moments with the group. SM Entertainment announced the official fandom name 'MY' on the site.

While many believed the name was creative, some thought otherwise. Some netizens pointed out that the fandom name would be too difficult to search for, and also seemed that SM Entertainment wasn't too creative with the name.



These netizens criticized that it would be better if the company left the fandom's name to the fans to make. Netizens left various opinions on an online community.



Netizens' Comments:

""I think people can make a lot of puns with their name 'MY.' lol.""

""I can't believe their fandom name is MY.""

""The name was given so fast.""

""I think 'MY' isn't too bad.""

""The fandom name is super cute in my opinion.""

""I feel the company didn't put too much thought into the fandom name. lol.""

""I think this is the first time that SM Entertainment revealed a fandom name this fast.""

""It's cute.""

""It's cute, but I think it's going to be hard to search for it when typing in 'MY' in the search bar.""

""Maybe KWANGYA might be better for a fandom name. It's more unique, lol.""","28","75%"
"348","Rapper Bully Da Ba$tard from 'High School Rapper' and 'Show Me The Money' confesses he did drugs since middle school"," haydn-an","Rapper Bully Da Ba$tard (also known as Yoon Byung Ho), who starred in the hip-hop competition programs such as 'High School Rapper' and 'Show Me The Money,' confessed he had used drugs.

On November 13th, Yoon Byung Ho posted lengthy writing on his official Instagram account along with a photo of a drug test kit, which showed a positive result. He wrote, ""Hello, this is Bully Da Ba$tard. I have been severely addicted to drugs since I was in middle school in 2013. I used drugs ranging from opium-based cough drug called Codeine to marijuana and spice.""

Then he continued to write, ""I appeared in 'High School Rapper' thinking I can quit the drugs whenever I wanted to. Then I started doing L.S.D., Ecstasy, and cocaine. I was so confused by the sudden rise in fame and hurt those around me while doing drugs. I quit drugs while doing a rehabilitation program with Paloalto and suffered withdrawal symptoms. But the hardest thing is to face the guilt.""



He then concluded by saying, ""I turned myself in on November 11th after quitting drugs from April of 2020. I was tested positive for TCH. I know I've already lost all my trust. I apologize to those who have been hurt by my actions. I'll be back after receiving my punishment.""

","21","91%"
"349","Artists and staff on 'Show! Music Core' and 'Inkigayo' to get tested for COVID-19 after Bitto tests positive"," jennywill","All the featured artists and staff present from last week's music shows will be getting tested for COVID-19.



UP10TION's Bitto tested positive for COVID-19 on the 30th. He received the test on the 29th and the results on the 30th, and was possibly exposed on the 28th. Because UP10TION was on 'Show! Music Core' on the 28th and on 'Inkigayo' on the 29th, all the artists and staff present on both shows will be getting tested.



Stay tuned for updates.","16","98%"
"350","In light of Hong Jin Young's plagiarism controversy, Chosun University states they will cancel her degree if the plagiarism is proven true"," haydn-an","Recently, it has been reported that Chosun University has started an investigation into if Hong Jin Young's master's and doctoral dissertation has been plagiarized. 



According to Yonhap News reports on November 13, the Graduate School Committee of Chosun University asked the Research Misconduct Committee under the institute of Research and Ethic to investigate whether Hong Jin Young's thesis falls under plagiarism.



Chosun University stated, ""Hong Jin Young denied the allegations of plagiarism and stated she will return her degree. Therefore, we have decided to take steps to determine whether she plagiarized or not.""



The university continued to state, ""The school officials and alumni are also upset as Hong Jin Young, who is embroiled in allegations of plagiarism, mentioned to return the degrees that are not even in the school system. A conclusion will be reached by the end of the year.""



Chosun University decided to cancel Hong Jin Young's degree if the plagiarism on her dissertation is confirmed.



Recently, the controversy over Hong Jin Young's master's thesis rose when it was confirmed that 74% of her dissertation was plagiarized. In response, Hong Jin Young denied the allegations. However, a former professor of Hong Jin Young at Chosun University claimed that 99% of her thesis paper was plagiarized. 



In the end, Hong Jin Young stated she will return her masters and doctorate degrees, saying, ""this is something I must be responsible for.""





","23","82%"
"351","BTS's SUGA greets fans through a casual 'V Live' broadcast after his shoulder surgery"," beansss","

On November 21, BTS's SUGA greeted fans through a 'V Live' broadcast, his first time appearing in front of fans after his shoulder surgery. 



Due to his surgery, SUGA was unable to attend BTS's comeback press conference back on November 20 in light of the worldwide release of 'BE (Deluxe Edition)'. He will also be sitting out of BTS's promotions for a short while, in order to focus on his recovery. 



During his 'V Live', SUGA assured fans by saying, ""I'm doing well. The pain is almost all gone, and it is throbbing less. After getting the surgery, it really hurts for about 3 days. You can't sleep. But now, I'm sleeping fine. These days, I'm studying English very diligently. I'm also working on music.""



SUGA then opened up about his decision to go through with the surgery. He remarked, ""I thought it was just an aftereffect of the accident. It kept throbbing on rainy days and so I just thought it was because I went through the accident. But over time, it got worse. There was a moment where I decided that I needed to get surgery. While filming our ad, I realized that I could't hold up the 500ml cider bottle with my left hand, because it hurt so much.""



He continued, ""Until about early last year, I worked out really hard. Since my shoulders were so bad, I tried pilates and physical therapy and a lot of things, but it was okay when I wasn't performing and bad when I was.""



Finally, when asked what's the most difficult thing about not participating in promotions, SUGA answered, ""A day feels so long. In the end, people need to work. I used to have schedules every day. Now, I wonder, what should I do. How can I have a productive day.""","25","79%"
"352","EXO's Kai moves his pelvis and nearly fails to keep things rated PG on the popular children's show 'Hey Jini'"," haydn-an","EXO's Kai is making headlines once again as he gains attention by appearing on the popular children's YouTube channel 'Hey Jini.'



On November 23rd, 'Hey Jini' uploaded a video with the title, ""Five types of way niece and nephews play with their uncle,"" with Kai as a special guest.





In this episode, Hey Jini introduced the five personalities of niece and nephews while Hey Jini played the role of the niece and Kai played the role of the uncle.



The first type of niece was ""The niece who is curious about too many things."" Hey Jini and Kai began their act and the YouTube host said she saw Kai on TV and asked him, ""Do you know what your buzz word is?"" Kai was a bit flustered but asked Hey Jini if she knew what his buzz word was.



When asked the question, Hey Jini fell into deep thought and on the screen showed the caption, ""The thoughts of Adult (19+) content passed through her head.""



Hey Jini hesitated for a bit but replied, ""Your buzz word is two syllables inside OO."" Kai became embarrassed as he figured out that the word Hey Jini was mentioning was the phrase he said on 'Knowing Brothers' a while back when he said, ""The two syllables inside panties?"" 



The YouTube host reminded Kai that this was a kid's show, but things didn't stop there as Kai nearly failed to keep things rated PG again.



Hey Jini then tried to dance the choreography to the song ""Love Shot,"" but she was not getting the dance quite right. So Kai decided to show her how it is actually done. As soon as Kai began sensually moving his pelvis, Hey Jini jumped in front of him to stop him.



via GIPHY

She yelled out and jumped in front of Kai while covering her eyes. Hey Jini then went to say quietly, ""This is a beautiful kid's channel,"" making everyone laugh.



","36","58%"
"353","Hong Jin Young completely edited out of 'Buddy into the Wild'"," jennywill","Hong Jin Young has been completely edited out of a variety program.



She was one of the in-studio MCs for 'Buddy into the Wild'. However, on a recent episode, she was almost completely edited out both visually and audibly. She wasn't even in the full studio shots, and her voice was only heard whenever she was exclaiming in awe at certain scenes.



This comes after her plagiarism accusations that she had plagiarized her graduate thesis. She had been accused of copying 74% of her thesis.

","35","63%"
